time[ms],voltage[mV]
8.125936888289351145e+01,2.220887374877929688e+01
8.146685026717085520e+01,2.199453926086425781e+01
8.167433165144819895e+01,2.178020286560058594e+01
8.188181303572554270e+01,2.156586837768554688e+01
8.208929442000288645e+01,2.135153198242187500e+01
8.229677580428023020e+01,2.113719749450683594e+01
8.250425718855757395e+01,2.092286300659179688e+01
8.271173857283491770e+01,2.070852661132812500e+01
8.291921995711226145e+01,2.049419212341308594e+01
8.312268827986616770e+01,2.027654838562011719e+01
8.332490538191694895e+01,2.005786514282226562e+01
8.352711485457319895e+01,1.983918190002441406e+01
8.372933195662398020e+01,1.962049865722656250e+01
8.393154142928023020e+01,1.940181541442871094e+01
8.413375853133101145e+01,1.918313217163085938e+01
8.433596800398726145e+01,1.896444892883300781e+01
8.453818510603804270e+01,1.874576568603515625e+01
8.474039457869429270e+01,1.852708244323730469e+01
8.494260405135054270e+01,1.830839920043945312e+01
8.514482115340132395e+01,1.808971595764160156e+01
8.534703062605757395e+01,1.787103271484375000e+01
8.554924772810835520e+01,1.765234947204589844e+01
8.575145720076460520e+01,1.743366622924804688e+01
8.595367430281538645e+01,1.721498298645019531e+01
8.615588377547163645e+01,1.699629974365234375e+01
8.635810087752241770e+01,1.677761650085449219e+01
8.656031035017866770e+01,1.655893325805664062e+01
8.676252745222944895e+01,1.634025001525878906e+01
8.696473692488569895e+01,1.612156677246093750e+01
8.716694639754194895e+01,1.590288352966308594e+01
8.736916349959273020e+01,1.568420124053955078e+01
8.757051848006148020e+01,1.546482944488525391e+01
8.777141569685835520e+01,1.524509429931640625e+01
8.797232054304976145e+01,1.502536010742187500e+01
8.817322538924116770e+01,1.480562591552734375e+01
8.837412260603804270e+01,1.458589076995849609e+01
8.857502745222944895e+01,1.436615657806396484e+01
8.877593229842085520e+01,1.414642238616943359e+01
8.897723387312788645e+01,1.392701053619384766e+01
8.917901609969038645e+01,1.370798206329345703e+01
8.938080595564741770e+01,1.348895263671875000e+01
